Name:;;;P20-3 1
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 18:36  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;-0.000237;-0.0237;0.00334;-0.00778;M- ,Dy_
2;0.0147;0.000176;0.012;0.0049;0.00576;M- ,Dy_
3;0.0215;0.00135;0.0626;0.00719;0.0442;Dy_auto
4;0.0316;0.00187;0.0591;0.0106;0.0612;Dy_auto
5;0.0464;0.00214;0.0462;0.0155;0.0702;Dy_auto
6;0.0681;0.00226;0.0331;0.0227;0.0739;Dy_auto
7;0.1;0.00237;0.0237;0.0334;0.0776;Dy_auto
8;0.147;0.00437;0.0298;0.049;0.143;Dy_auto
9;0.215;0.00554;0.0257;0.0719;0.182;Dy_auto
10;0.316;0.0077;0.0243;0.106;0.252;Dy_auto
11;0.464;0.0111;0.0239;0.155;0.363;Dy_auto
12;0.681;0.0159;0.0233;0.227;0.52;Dy_auto
13;1;0.0235;0.0235;0.334;0.77;Dy_auto
14;1.47;0.0332;0.0226;0.49;1.09;Dy_auto
15;2.15;0.0462;0.0214;0.719;1.51;Dy_auto
16;3.16;0.0638;0.0202;1.06;2.09;Dy_auto
17;4.64;0.089;0.0192;1.55;2.92;Dy_auto
18;6.81;0.121;0.0178;2.27;3.98;Dy_auto
19;10;0.166;0.0166;3.34;5.45;Dy_auto
20;14.7;0.225;0.0153;4.9;7.37;Dy_auto
21;21.5;0.302;0.014;7.19;9.89;Dy_auto
22;31.6;0.404;0.0128;10.6;13.3;Dy_auto
23;46.4;0.539;0.0116;15.5;17.7;Dy_auto
24;68.1;0.718;0.0105;22.7;23.5;Dy_auto
25;100;0.952;0.00952;33.4;31.2;Dy_auto
26;147;1.27;0.00862;49;41.5;Dy_auto
27;215;1.68;0.0078;71.9;55.1;Dy_auto
28;316;2.24;0.00707;106;73.3;Dy_auto
29;464;2.98;0.00642;155;97.6;Dy_auto
30;681;4.02;0.0059;227;132;Dy_auto
31;1000;5.49;0.00549;334;180;Dy_auto

