Name:;;;P40-1 1
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 19:07  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;0.0000749;0.00749;0.00334;0.00246;M- ,Dy_
2;0.0147;0.000355;0.0242;0.0049;0.0116;Dy_auto
3;0.0215;0.00147;0.0682;0.00719;0.0481;Dy_auto
4;0.0316;0.00138;0.0438;0.0106;0.0453;Dy_auto
5;0.0464;0.00113;0.0242;0.0155;0.0369;Dy_auto
6;0.0681;0.000503;0.00739;0.0227;0.0165;Dy_auto
7;0.1;0.000553;0.00553;0.0334;0.0181;Dy_auto
8;0.147;0.0018;0.0123;0.049;0.059;Dy_auto
9;0.215;0.00179;0.00831;0.0719;0.0586;Dy_auto
10;0.316;0.0025;0.00789;0.106;0.0818;Dy_auto
11;0.464;0.00471;0.0101;0.155;0.154;Dy_auto
12;0.681;0.00664;0.00974;0.227;0.217;Dy_auto
13;1;0.0113;0.0113;0.334;0.369;Dy_auto
14;1.47;0.0163;0.0111;0.49;0.535;Dy_auto
15;2.15;0.0234;0.0109;0.719;0.767;Dy_auto
16;3.16;0.0328;0.0104;1.06;1.07;Dy_auto
17;4.64;0.048;0.0103;1.55;1.57;Dy_auto
18;6.81;0.0678;0.00996;2.27;2.22;Dy_auto
19;10;0.0969;0.00969;3.34;3.18;Dy_auto
20;14.7;0.136;0.00927;4.9;4.46;Dy_auto
21;21.5;0.189;0.00878;7.19;6.2;Dy_auto
22;31.6;0.262;0.0083;10.6;8.6;Dy_auto
23;46.4;0.362;0.00779;15.5;11.9;Dy_auto
24;68.1;0.497;0.0073;22.7;16.3;Dy_auto
25;100;0.678;0.00678;33.4;22.2;Dy_auto
26;147;0.926;0.00631;49;30.3;Dy_auto
27;215;1.26;0.00585;71.9;41.3;Dy_auto
28;316;1.71;0.00542;106;56.2;Dy_auto
29;464;2.33;0.00502;155;76.4;Dy_auto
30;681;3.22;0.00472;227;105;Dy_auto
31;1000;4.53;0.00453;334;148;Dy_auto

