Name:;;;1-3 1
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 20:39  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;0.00352;0.352;0.00334;0.115;Dy_auto
2;0.0147;0.00585;0.399;0.0049;0.192;Dy_auto
3;0.0215;0.00939;0.436;0.00719;0.308;Dy_auto
4;0.0316;0.0129;0.407;0.0106;0.422;Dy_auto
5;0.0464;0.0169;0.364;0.0155;0.553;Dy_auto
6;0.0681;0.0232;0.34;0.0227;0.76;Dy_auto
7;0.1;0.0303;0.303;0.0334;0.994;Dy_auto
8;0.147;0.0397;0.271;0.049;1.3;Dy_auto
9;0.215;0.0502;0.233;0.0719;1.64;Dy_auto
10;0.316;0.0645;0.204;0.106;2.11;Dy_auto
11;0.464;0.0828;0.178;0.155;2.71;Dy_auto
12;0.681;0.107;0.157;0.227;3.5;Dy_auto
13;1;0.138;0.138;0.334;4.52;Dy_auto
14;1.47;0.177;0.12;0.49;5.79;Dy_auto
15;2.15;0.224;0.104;0.719;7.34;Dy_auto
16;3.16;0.283;0.0894;1.06;9.27;Dy_auto
17;4.64;0.358;0.0772;1.55;11.7;Dy_auto
18;6.81;0.452;0.0663;2.27;14.8;Dy_auto
19;10;0.567;0.0567;3.34;18.6;Dy_auto
20;14.7;0.711;0.0484;4.9;23.3;Dy_auto
21;21.5;0.888;0.0412;7.19;29.1;Dy_auto
22;31.6;1.11;0.035;10.6;36.3;Dy_auto
23;46.4;1.38;0.0298;15.5;45.3;Dy_auto
24;68.1;1.73;0.0254;22.7;56.8;Dy_auto
25;100;2.17;0.0217;33.4;70.9;Dy_auto
26;147;2.72;0.0185;49;89;Dy_auto
27;215;3.42;0.0159;71.9;112;Dy_auto
28;316;4.32;0.0137;106;141;Dy_auto
29;464;5.46;0.0118;155;179;Dy_auto
30;681;6.97;0.0102;227;228;Dy_auto
31;1000;8.91;0.00891;334;292;Dy_auto

