Name:;;;3-1 1
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 22:01  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;-0.000565;-0.0565;0.00334;-0.0185;Dy_auto
2;0.0147;0.00355;0.242;0.0049;0.116;Dy_auto
3;0.0215;0.00985;0.457;0.00719;0.323;Dy_auto
4;0.0316;0.0149;0.471;0.0106;0.488;Dy_auto
5;0.0464;0.0178;0.384;0.0155;0.585;Dy_auto
6;0.0681;0.0171;0.251;0.0227;0.561;Dy_auto
7;0.1;0.019;0.19;0.0334;0.624;Dy_auto
8;0.147;0.0186;0.127;0.049;0.61;Dy_auto
9;0.215;0.0208;0.0965;0.0719;0.681;Dy_auto
10;0.316;0.0182;0.0575;0.106;0.596;Dy_auto
11;0.464;0.0174;0.0374;0.155;0.569;Dy_auto
12;0.681;0.0282;0.0415;0.227;0.925;Dy_auto
13;1;0.0235;0.0235;0.334;0.769;Dy_auto
14;1.47;0.0303;0.0206;0.49;0.991;Dy_auto
15;2.15;0.0375;0.0174;0.719;1.23;Dy_auto
16;3.16;0.053;0.0167;1.06;1.73;Dy_auto
17;4.64;0.0698;0.015;1.55;2.29;Dy_auto
18;6.81;0.0947;0.0139;2.27;3.1;Dy_auto
19;10;0.13;0.013;3.34;4.25;Dy_auto
20;14.7;0.176;0.012;4.9;5.77;Dy_auto
21;21.5;0.239;0.0111;7.19;7.84;Dy_auto
22;31.6;0.324;0.0103;10.6;10.6;Dy_auto
23;46.4;0.439;0.00946;15.5;14.4;Dy_auto
24;68.1;0.593;0.00871;22.7;19.4;Dy_auto
25;100;0.798;0.00798;33.4;26.1;Dy_auto
26;147;1.07;0.00732;49;35.2;Dy_auto
27;215;1.45;0.00671;71.9;47.4;Dy_auto
28;316;1.95;0.00616;106;63.8;Dy_auto
29;464;2.62;0.00565;155;86;Dy_auto
30;681;3.58;0.00526;227;117;Dy_auto
31;1000;4.98;0.00498;334;163;Dy_auto

