Name:;;;P3-3 3
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 17:33  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;0.00685;0.685;0.00334;0.224;Dy_auto
2;0.0147;0.0158;1.07;0.0049;0.517;Dy_auto
3;0.0215;0.027;1.25;0.00719;0.885;Dy_auto
4;0.0316;0.0468;1.48;0.0106;1.53;Dy_auto
5;0.0464;0.0781;1.68;0.0155;2.56;Dy_auto
6;0.0681;0.11;1.61;0.0227;3.6;Dy_auto
7;0.1;0.13;1.3;0.0334;4.27;Dy_auto
8;0.147;0.148;1.01;0.049;4.86;Dy_auto
9;0.215;0.173;0.802;0.0719;5.66;Dy_auto
10;0.316;0.206;0.653;0.106;6.76;Dy_auto
11;0.464;0.253;0.545;0.155;8.28;Dy_auto
12;0.681;0.308;0.452;0.227;10.1;Dy_auto
13;1;0.372;0.372;0.334;12.2;Dy_auto
14;1.47;0.451;0.307;0.49;14.8;Dy_auto
15;2.15;0.546;0.253;0.719;17.9;Dy_auto
16;3.16;0.658;0.208;1.06;21.5;Dy_auto
17;4.64;0.788;0.17;1.55;25.8;Dy_auto
18;6.81;0.944;0.139;2.27;30.9;Dy_auto
19;10;1.13;0.113;3.34;36.9;Dy_auto
20;14.7;1.34;0.0916;4.9;44.1;Dy_auto
21;21.5;1.61;0.0747;7.19;52.8;Dy_auto
22;31.6;1.94;0.0612;10.6;63.5;Dy_auto
23;46.4;2.33;0.0502;15.5;76.3;Dy_auto
24;68.1;2.81;0.0412;22.7;92;Dy_auto
25;100;3.4;0.034;33.4;112;Dy_auto
26;147;4.15;0.0283;49;136;Dy_auto
27;215;5.08;0.0236;71.9;166;Dy_auto
28;316;6.26;0.0198;106;205;Dy_auto
29;464;7.76;0.0167;155;254;Dy_auto
30;681;9.65;0.0142;227;316;Dy_auto
31;1000;12.1;0.0121;334;397;Dy_auto

