Name:;;;2-3 1
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 21:28  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;0.000556;0.0556;0.00334;0.0182;Dy_auto
2;0.0147;0.00109;0.0739;0.0049;0.0356;Dy_auto
3;0.0215;0.00278;0.129;0.00719;0.0911;Dy_auto
4;0.0316;0.00426;0.135;0.0106;0.139;Dy_auto
5;0.0464;0.00597;0.129;0.0155;0.196;Dy_auto
6;0.0681;0.00864;0.127;0.0227;0.283;Dy_auto
7;0.1;0.0119;0.119;0.0334;0.389;Dy_auto
8;0.147;0.0167;0.113;0.049;0.546;Dy_auto
9;0.215;0.0221;0.103;0.0719;0.724;Dy_auto
10;0.316;0.0294;0.093;0.106;0.964;Dy_auto
11;0.464;0.0395;0.0851;0.155;1.29;Dy_auto
12;0.681;0.053;0.0778;0.227;1.74;Dy_auto
13;1;0.071;0.071;0.334;2.33;Dy_auto
14;1.47;0.0949;0.0646;0.49;3.11;Dy_auto
15;2.15;0.124;0.0576;0.719;4.07;Dy_auto
16;3.16;0.161;0.0509;1.06;5.28;Dy_auto
17;4.64;0.211;0.0454;1.55;6.9;Dy_auto
18;6.81;0.273;0.0401;2.27;8.94;Dy_auto
19;10;0.354;0.0354;3.34;11.6;Dy_auto
20;14.7;0.457;0.0311;4.9;15;Dy_auto
21;21.5;0.587;0.0273;7.19;19.2;Dy_auto
22;31.6;0.755;0.0239;10.6;24.7;Dy_auto
23;46.4;0.97;0.0209;15.5;31.8;Dy_auto
24;68.1;1.25;0.0183;22.7;40.9;Dy_auto
25;100;1.61;0.0161;33.4;52.6;Dy_auto
26;147;2.07;0.0141;49;67.9;Dy_auto
27;215;2.68;0.0124;71.9;87.8;Dy_auto
28;316;3.47;0.011;106;114;Dy_auto
29;464;4.5;0.0097;155;147;Dy_auto
30;681;5.89;0.00865;227;193;Dy_auto
31;1000;7.74;0.00774;334;253;Dy_auto

