Name:;;;2-4 1
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 21:44  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;0.00121;0.121;0.00334;0.0396;Dy_auto
2;0.0147;0.00205;0.14;0.0049;0.0671;Dy_auto
3;0.0215;0.00403;0.187;0.00719;0.132;Dy_auto
4;0.0316;0.00598;0.189;0.0106;0.196;Dy_auto
5;0.0464;0.00746;0.161;0.0155;0.244;Dy_auto
6;0.0681;0.00971;0.143;0.0227;0.318;Dy_auto
7;0.1;0.0126;0.126;0.0334;0.413;Dy_auto
8;0.147;0.0181;0.123;0.049;0.592;Dy_auto
9;0.215;0.0235;0.109;0.0719;0.769;Dy_auto
10;0.316;0.0314;0.0992;0.106;1.03;Dy_auto
11;0.464;0.0417;0.0899;0.155;1.37;Dy_auto
12;0.681;0.0553;0.0811;0.227;1.81;Dy_auto
13;1;0.0742;0.0742;0.334;2.43;Dy_auto
14;1.47;0.0981;0.0668;0.49;3.21;Dy_auto
15;2.15;0.128;0.0593;0.719;4.19;Dy_auto
16;3.16;0.165;0.0522;1.06;5.41;Dy_auto
17;4.64;0.215;0.0464;1.55;7.05;Dy_auto
18;6.81;0.278;0.0408;2.27;9.1;Dy_auto
19;10;0.36;0.036;3.34;11.8;Dy_auto
20;14.7;0.463;0.0315;4.9;15.2;Dy_auto
21;21.5;0.595;0.0276;7.19;19.5;Dy_auto
22;31.6;0.764;0.0242;10.6;25;Dy_auto
23;46.4;0.981;0.0211;15.5;32.1;Dy_auto
24;68.1;1.26;0.0185;22.7;41.3;Dy_auto
25;100;1.62;0.0162;33.4;53.1;Dy_auto
26;147;2.09;0.0142;49;68.4;Dy_auto
27;215;2.69;0.0125;71.9;88.3;Dy_auto
28;316;3.49;0.011;106;114;Dy_auto
29;464;4.52;0.00973;155;148;Dy_auto
30;681;5.89;0.00864;227;193;Dy_auto
31;1000;7.71;0.00771;334;252;Dy_auto

