Name:;;;3-2 3
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 22:24  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;-0.000411;-0.0411;0.00334;-0.0135;Dy_auto
2;0.0147;-0.000254;-0.0173;0.0049;-0.00833;M- ,Dy_
3;0.0215;0.000564;0.0262;0.00719;0.0185;Dy_auto
4;0.0316;0.000689;0.0218;0.0106;0.0226;Dy_auto
5;0.0464;0.000606;0.0131;0.0155;0.0199;Dy_auto
6;0.0681;0.000784;0.0115;0.0227;0.0257;Dy_auto
7;0.1;0.000875;0.00875;0.0334;0.0287;Dy_auto
8;0.147;0.00234;0.016;0.049;0.0768;Dy_auto
9;0.215;0.00301;0.014;0.0719;0.0988;Dy_auto
10;0.316;0.00429;0.0136;0.106;0.141;Dy_auto
11;0.464;0.00635;0.0137;0.155;0.208;Dy_auto
12;0.681;0.0101;0.0149;0.227;0.332;Dy_auto
13;1;0.0155;0.0155;0.334;0.508;Dy_auto
14;1.47;0.0231;0.0157;0.49;0.756;Dy_auto
15;2.15;0.0325;0.0151;0.719;1.06;Dy_auto
16;3.16;0.0447;0.0141;1.06;1.46;Dy_auto
17;4.64;0.0639;0.0138;1.55;2.09;Dy_auto
18;6.81;0.0888;0.013;2.27;2.91;Dy_auto
19;10;0.125;0.0125;3.34;4.09;Dy_auto
20;14.7;0.172;0.0117;4.9;5.64;Dy_auto
21;21.5;0.235;0.0109;7.19;7.71;Dy_auto
22;31.6;0.321;0.0102;10.6;10.5;Dy_auto
23;46.4;0.436;0.00939;15.5;14.3;Dy_auto
24;68.1;0.59;0.00866;22.7;19.3;Dy_auto
25;100;0.794;0.00794;33.4;26;Dy_auto
26;147;1.07;0.0073;49;35.1;Dy_auto
27;215;1.44;0.0067;71.9;47.3;Dy_auto
28;316;1.94;0.00614;106;63.7;Dy_auto
29;464;2.62;0.00564;155;85.7;Dy_auto
30;681;3.57;0.00525;227;117;Dy_auto
31;1000;4.96;0.00496;334;163;Dy_auto

