Name:;;;3-3 1
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 22:40  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;-0.000358;-0.0359;0.00334;-0.0117;Dy_auto
2;0.0147;-0.000594;-0.0405;0.0049;-0.0195;Dy_auto
3;0.0215;-0.000105;-0.00489;0.00719;-0.00345;M- ,Dy_
4;0.0316;-0.0000537;-0.0017;0.0106;-0.00176;M- ,Dy_
5;0.0464;-0.000103;-0.00221;0.0155;-0.00336;M- ,Dy_
6;0.0681;-0.0000319;-0.000468;0.0227;-0.00105;M- ,Dy_
7;0.1;0.000281;0.00281;0.0334;0.0092;M- ,Dy_
8;0.147;0.00148;0.0101;0.049;0.0484;Dy_auto
9;0.215;0.00235;0.0109;0.0719;0.0769;Dy_auto
10;0.316;0.00359;0.0113;0.106;0.117;Dy_auto
11;0.464;0.00581;0.0125;0.155;0.19;Dy_auto
12;0.681;0.00905;0.0133;0.227;0.297;Dy_auto
13;1;0.0141;0.0141;0.334;0.463;Dy_auto
14;1.47;0.021;0.0143;0.49;0.689;Dy_auto
15;2.15;0.0303;0.0141;0.719;0.993;Dy_auto
16;3.16;0.0419;0.0133;1.06;1.37;Dy_auto
17;4.64;0.0601;0.013;1.55;1.97;Dy_auto
18;6.81;0.0844;0.0124;2.27;2.77;Dy_auto
19;10;0.119;0.0119;3.34;3.89;Dy_auto
20;14.7;0.164;0.0112;4.9;5.37;Dy_auto
21;21.5;0.225;0.0104;7.19;7.36;Dy_auto
22;31.6;0.307;0.00971;10.6;10.1;Dy_auto
23;46.4;0.418;0.009;15.5;13.7;Dy_auto
24;68.1;0.568;0.00833;22.7;18.6;Dy_auto
25;100;0.765;0.00765;33.4;25.1;Dy_auto
26;147;1.03;0.00704;49;33.8;Dy_auto
27;215;1.39;0.00646;71.9;45.6;Dy_auto
28;316;1.88;0.00594;106;61.5;Dy_auto
29;464;2.53;0.00545;155;82.9;Dy_auto
30;681;3.46;0.00508;227;113;Dy_auto
31;1000;4.8;0.0048;334;157;Dy_auto
