Name:;;;1-2 1
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 20:23  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;0.00303;0.303;0.00334;0.0993;Dy_auto
2;0.0147;0.0058;0.395;0.0049;0.19;Dy_auto
3;0.0215;0.00972;0.451;0.00719;0.318;Dy_auto
4;0.0316;0.0138;0.438;0.0106;0.454;Dy_auto
5;0.0464;0.0187;0.404;0.0155;0.614;Dy_auto
6;0.0681;0.025;0.367;0.0227;0.82;Dy_auto
7;0.1;0.0327;0.327;0.0334;1.07;Dy_auto
8;0.147;0.0427;0.291;0.049;1.4;Dy_auto
9;0.215;0.0534;0.248;0.0719;1.75;Dy_auto
10;0.316;0.0679;0.215;0.106;2.23;Dy_auto
11;0.464;0.0874;0.188;0.155;2.86;Dy_auto
12;0.681;0.111;0.163;0.227;3.63;Dy_auto
13;1;0.142;0.142;0.334;4.66;Dy_auto
14;1.47;0.181;0.124;0.49;5.94;Dy_auto
15;2.15;0.23;0.107;0.719;7.53;Dy_auto
16;3.16;0.289;0.0914;1.06;9.47;Dy_auto
17;4.64;0.366;0.0788;1.55;12;Dy_auto
18;6.81;0.46;0.0675;2.27;15.1;Dy_auto
19;10;0.579;0.0579;3.34;19;Dy_auto
20;14.7;0.725;0.0494;4.9;23.8;Dy_auto
21;21.5;0.904;0.042;7.19;29.6;Dy_auto
22;31.6;1.13;0.0357;10.6;37;Dy_auto
23;46.4;1.41;0.0303;15.5;46.1;Dy_auto
24;68.1;1.76;0.0258;22.7;57.7;Dy_auto
25;100;2.2;0.022;33.4;72.1;Dy_auto
26;147;2.76;0.0188;49;90.3;Dy_auto
27;215;3.46;0.016;71.9;113;Dy_auto
28;316;4.35;0.0138;106;142;Dy_auto
29;464;5.49;0.0118;155;180;Dy_auto
30;681;7;0.0103;227;229;Dy_auto
31;1000;8.94;0.00894;334;293;Dy_auto

