Name:;;;P20-2 3
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 18:13  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;0.000169;0.0169;0.00334;0.00555;M- ,Dy_
2;0.0147;0.000642;0.0437;0.0049;0.021;Dy_auto
3;0.0215;0.000551;0.0256;0.00719;0.0181;Dy_auto
4;0.0316;0.000657;0.0208;0.0106;0.0215;Dy_auto
5;0.0464;0.00153;0.033;0.0155;0.0503;Dy_auto
6;0.0681;0.00176;0.0258;0.0227;0.0576;Dy_auto
7;0.1;0.00081;0.0081;0.0334;0.0265;Dy_auto
8;0.147;0.00276;0.0188;0.049;0.0904;Dy_auto
9;0.215;0.00498;0.0231;0.0719;0.163;Dy_auto
10;0.316;0.00655;0.0207;0.106;0.215;Dy_auto
11;0.464;0.01;0.0216;0.155;0.329;Dy_auto
12;0.681;0.0154;0.0226;0.227;0.504;Dy_auto
13;1;0.0211;0.0211;0.334;0.692;Dy_auto
14;1.47;0.0302;0.0206;0.49;0.989;Dy_auto
15;2.15;0.0415;0.0192;0.719;1.36;Dy_auto
16;3.16;0.0593;0.0187;1.06;1.94;Dy_auto
17;4.64;0.0828;0.0178;1.55;2.71;Dy_auto
18;6.81;0.113;0.0166;2.27;3.71;Dy_auto
19;10;0.155;0.0155;3.34;5.07;Dy_auto
20;14.7;0.21;0.0143;4.9;6.89;Dy_auto
21;21.5;0.283;0.0132;7.19;9.29;Dy_auto
22;31.6;0.381;0.012;10.6;12.5;Dy_auto
23;46.4;0.509;0.011;15.5;16.7;Dy_auto
24;68.1;0.679;0.00996;22.7;22.2;Dy_auto
25;100;0.903;0.00903;33.4;29.6;Dy_auto
26;147;1.2;0.00818;49;39.3;Dy_auto
27;215;1.59;0.0074;71.9;52.3;Dy_auto
28;316;2.12;0.00671;106;69.5;Dy_auto
29;464;2.84;0.00611;155;93;Dy_auto
30;681;3.82;0.0056;227;125;Dy_auto
31;1000;5.22;0.00523;334;171;Dy_auto

