Name:;;;P3-2 1
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 15:44  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;0.0392;3.92;0.00334;1.28;Dy_auto
2;0.0147;0.0823;5.61;0.0049;2.7;Dy_auto
3;0.0215;0.151;7;0.00719;4.94;Dy_auto
4;0.0316;0.274;8.68;0.0105;8.99;Dy_auto
5;0.0464;0.464;10;0.0155;15.2;Dy_auto
6;0.0681;0.609;8.95;0.0227;20;Dy_auto
7;0.1;0.644;6.44;0.0334;21.1;Dy_auto
8;0.147;0.663;4.51;0.049;21.7;Dy_auto
9;0.215;0.711;3.3;0.0719;23.3;Dy_auto
10;0.316;0.775;2.45;0.106;25.4;Dy_auto
11;0.464;0.838;1.8;0.155;27.4;Dy_auto
12;0.681;0.904;1.33;0.227;29.6;Dy_auto
13;1;0.98;0.979;0.334;32.1;Dy_auto
14;1.47;1.05;0.715;0.49;34.4;Dy_auto
15;2.15;1.13;0.524;0.719;37;Dy_auto
16;3.16;1.23;0.388;1.06;40.2;Dy_auto
17;4.64;1.34;0.288;1.55;43.8;Dy_auto
18;6.81;1.47;0.216;2.27;48.2;Dy_auto
19;10;1.63;0.163;3.34;53.5;Dy_auto
20;14.7;1.83;0.125;4.9;60;Dy_auto
21;21.5;2.07;0.0963;7.19;68;Dy_auto
22;31.6;2.36;0.0747;10.6;77.4;Dy_auto
23;46.4;2.71;0.0583;15.5;88.7;Dy_auto
24;68.1;3.13;0.046;22.7;103;Dy_auto
25;100;3.65;0.0365;33.4;120;Dy_auto
26;147;4.31;0.0294;49;141;Dy_auto
27;215;5.16;0.0239;71.9;169;Dy_auto
28;316;6.23;0.0197;106;204;Dy_auto
29;464;7.6;0.0164;155;249;Dy_auto
30;681;9.35;0.0137;227;306;Dy_auto
31;1000;11.6;0.0116;334;379;Dy_auto

