Name:;;;P20-4 1
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 18:52  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;-0.00024;-0.024;0.00334;-0.00787;M- ,Dy_
2;0.0147;0.000241;0.0164;0.0049;0.00788;M- ,Dy_
3;0.0215;0.00132;0.0614;0.00719;0.0434;Dy_auto
4;0.0316;0.00174;0.0549;0.0106;0.0569;Dy_auto
5;0.0464;0.00188;0.0405;0.0155;0.0615;Dy_auto
6;0.0681;0.00197;0.0289;0.0227;0.0645;Dy_auto
7;0.1;0.00247;0.0247;0.0334;0.081;Dy_auto
8;0.147;0.00466;0.0317;0.049;0.153;Dy_auto
9;0.215;0.00569;0.0264;0.0719;0.186;Dy_auto
10;0.316;0.00813;0.0257;0.106;0.266;Dy_auto
11;0.464;0.0115;0.0248;0.155;0.377;Dy_auto
12;0.681;0.0165;0.0242;0.227;0.541;Dy_auto
13;1;0.0243;0.0243;0.334;0.796;Dy_auto
14;1.47;0.0342;0.0233;0.49;1.12;Dy_auto
15;2.15;0.0476;0.0221;0.719;1.56;Dy_auto
16;3.16;0.0655;0.0207;1.06;2.15;Dy_auto
17;4.64;0.0911;0.0196;1.55;2.99;Dy_auto
18;6.81;0.124;0.0182;2.27;4.07;Dy_auto
19;10;0.17;0.017;3.34;5.56;Dy_auto
20;14.7;0.229;0.0156;4.9;7.51;Dy_auto
21;21.5;0.307;0.0143;7.19;10.1;Dy_auto
22;31.6;0.411;0.013;10.6;13.5;Dy_auto
23;46.4;0.548;0.0118;15.5;18;Dy_auto
24;68.1;0.729;0.0107;22.7;23.9;Dy_auto
25;100;0.966;0.00966;33.4;31.7;Dy_auto
26;147;1.28;0.00874;49;42;Dy_auto
27;215;1.7;0.00791;71.9;55.8;Dy_auto
28;316;2.27;0.00717;106;74.3;Dy_auto
29;464;3.02;0.0065;155;98.9;Dy_auto
30;681;4.07;0.00597;227;133;Dy_auto
31;1000;5.55;0.00555;334;182;Dy_auto

