Name:;;;1-1 2
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 20:06  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;0.00328;0.328;0.00334;0.108;Dy_auto
2;0.0147;0.00573;0.391;0.0049;0.188;Dy_auto
3;0.0215;0.00959;0.445;0.00719;0.314;Dy_auto
4;0.0316;0.014;0.443;0.0106;0.459;Dy_auto
5;0.0464;0.0193;0.415;0.0155;0.632;Dy_auto
6;0.0681;0.0262;0.384;0.0227;0.857;Dy_auto
7;0.1;0.0345;0.345;0.0334;1.13;Dy_auto
8;0.147;0.0452;0.308;0.049;1.48;Dy_auto
9;0.215;0.0567;0.263;0.0719;1.86;Dy_auto
10;0.316;0.0716;0.227;0.106;2.35;Dy_auto
11;0.464;0.0908;0.196;0.155;2.98;Dy_auto
12;0.681;0.116;0.17;0.227;3.79;Dy_auto
13;1;0.148;0.148;0.334;4.85;Dy_auto
14;1.47;0.188;0.128;0.49;6.17;Dy_auto
15;2.15;0.238;0.11;0.719;7.8;Dy_auto
16;3.16;0.297;0.094;1.06;9.74;Dy_auto
17;4.64;0.375;0.0807;1.55;12.3;Dy_auto
18;6.81;0.47;0.0689;2.27;15.4;Dy_auto
19;10;0.59;0.059;3.34;19.3;Dy_auto
20;14.7;0.734;0.05;4.9;24;Dy_auto
21;21.5;0.913;0.0424;7.19;29.9;Dy_auto
22;31.6;1.14;0.0359;10.6;37.2;Dy_auto
23;46.4;1.41;0.0304;15.5;46.2;Dy_auto
24;68.1;1.76;0.0258;22.7;57.6;Dy_auto
25;100;2.2;0.022;33.4;71.9;Dy_auto
26;147;2.74;0.0187;49;89.8;Dy_auto
27;215;3.43;0.0159;71.9;112;Dy_auto
28;316;4.32;0.0137;106;142;Dy_auto
29;464;5.46;0.0118;155;179;Dy_auto
30;681;6.95;0.0102;227;228;Dy_auto
31;1000;8.89;0.00889;334;291;Dy_auto

