Name:;;;P40-3 1
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 19:50  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;-0.000425;-0.0425;0.00334;-0.0139;Dy_auto
2;0.0147;-0.000134;-0.00911;0.0049;-0.00438;M- ,Dy_
3;0.0215;0.000808;0.0375;0.00719;0.0265;Dy_auto
4;0.0316;0.000931;0.0295;0.0106;0.0305;Dy_auto
5;0.0464;0.000831;0.0179;0.0155;0.0272;Dy_auto
6;0.0681;0.000672;0.00987;0.0227;0.022;Dy_auto
7;0.1;0.000593;0.00593;0.0334;0.0194;Dy_auto
8;0.147;0.00185;0.0126;0.049;0.0606;Dy_auto
9;0.215;0.00176;0.00817;0.0719;0.0577;Dy_auto
10;0.316;0.0028;0.00885;0.106;0.0917;Dy_auto
11;0.464;0.00412;0.00887;0.155;0.135;Dy_auto
12;0.681;0.00648;0.00952;0.227;0.212;Dy_auto
13;1;0.0104;0.0104;0.334;0.341;Dy_auto
14;1.47;0.0156;0.0107;0.49;0.513;Dy_auto
15;2.15;0.0227;0.0105;0.719;0.743;Dy_auto
16;3.16;0.0316;0.00999;1.06;1.04;Dy_auto
17;4.64;0.0463;0.00997;1.55;1.52;Dy_auto
18;6.81;0.0659;0.00968;2.27;2.16;Dy_auto
19;10;0.0946;0.00946;3.34;3.1;Dy_auto
20;14.7;0.133;0.00905;4.9;4.35;Dy_auto
21;21.5;0.185;0.0086;7.19;6.07;Dy_auto
22;31.6;0.258;0.00814;10.6;8.44;Dy_auto
23;46.4;0.356;0.00766;15.5;11.7;Dy_auto
24;68.1;0.49;0.00719;22.7;16.1;Dy_auto
25;100;0.669;0.00669;33.4;21.9;Dy_auto
26;147;0.915;0.00623;49;30;Dy_auto
27;215;1.25;0.00579;71.9;40.9;Dy_auto
28;316;1.7;0.00537;106;55.6;Dy_auto
29;464;2.31;0.00498;155;75.7;Dy_auto
30;681;3.19;0.00469;227;105;Dy_auto
31;1000;4.5;0.0045;334;148;Dy_auto

