Name:;;;P3-2 7
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 16:45  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;0.00636;0.637;0.00334;0.209;Dy_auto
2;0.0147;0.012;0.818;0.0049;0.393;Dy_auto
3;0.0215;0.0196;0.908;0.00719;0.641;Dy_auto
4;0.0316;0.0313;0.989;0.0106;1.02;Dy_auto
5;0.0464;0.047;1.01;0.0155;1.54;Dy_auto
6;0.0681;0.065;0.955;0.0227;2.13;Dy_auto
7;0.1;0.0827;0.827;0.0334;2.71;Dy_auto
8;0.147;0.102;0.697;0.049;3.35;Dy_auto
9;0.215;0.126;0.584;0.0719;4.12;Dy_auto
10;0.316;0.157;0.495;0.106;5.13;Dy_auto
11;0.464;0.195;0.421;0.155;6.4;Dy_auto
12;0.681;0.243;0.356;0.227;7.95;Dy_auto
13;1;0.3;0.3;0.334;9.83;Dy_auto
14;1.47;0.368;0.251;0.49;12.1;Dy_auto
15;2.15;0.452;0.21;0.719;14.8;Dy_auto
16;3.16;0.551;0.174;1.06;18.1;Dy_auto
17;4.64;0.669;0.144;1.55;21.9;Dy_auto
18;6.81;0.808;0.119;2.27;26.5;Dy_auto
19;10;0.977;0.0977;3.34;32;Dy_auto
20;14.7;1.18;0.0802;4.9;38.6;Dy_auto
21;21.5;1.42;0.0657;7.19;46.4;Dy_auto
22;31.6;1.71;0.0542;10.6;56.2;Dy_auto
23;46.4;2.07;0.0446;15.5;67.9;Dy_auto
24;68.1;2.51;0.0369;22.7;82.3;Dy_auto
25;100;3.06;0.0306;33.4;100;Dy_auto
26;147;3.74;0.0255;49;123;Dy_auto
27;215;4.6;0.0213;71.9;151;Dy_auto
28;316;5.68;0.018;106;186;Dy_auto
29;464;7.06;0.0152;155;231;Dy_auto
30;681;8.82;0.013;227;289;Dy_auto
31;1000;11.1;0.0111;334;364;Dy_auto

