Name:;;;P3-1 3
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 14:48  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;0.01;1;0.00334;0.329;Dy_auto
2;0.0147;0.0163;1.11;0.0049;0.535;Dy_auto
3;0.0215;0.0266;1.24;0.00719;0.872;Dy_auto
4;0.0316;0.0441;1.39;0.0106;1.45;Dy_auto
5;0.0464;0.0723;1.56;0.0155;2.37;Dy_auto
6;0.0681;0.102;1.5;0.0227;3.35;Dy_auto
7;0.1;0.125;1.25;0.0334;4.11;Dy_auto
8;0.147;0.147;1;0.049;4.83;Dy_auto
9;0.215;0.171;0.793;0.0719;5.6;Dy_auto
10;0.316;0.204;0.647;0.106;6.7;Dy_auto
11;0.464;0.25;0.539;0.155;8.2;Dy_auto
12;0.681;0.305;0.448;0.227;10;Dy_auto
13;1;0.369;0.369;0.334;12.1;Dy_auto
14;1.47;0.447;0.305;0.49;14.7;Dy_auto
15;2.15;0.54;0.251;0.719;17.7;Dy_auto
16;3.16;0.648;0.205;1.06;21.2;Dy_auto
17;4.64;0.776;0.167;1.55;25.4;Dy_auto
18;6.81;0.927;0.136;2.27;30.4;Dy_auto
19;10;1.1;0.11;3.34;36.1;Dy_auto
20;14.7;1.32;0.0896;4.9;43.1;Dy_auto
21;21.5;1.57;0.0729;7.19;51.5;Dy_auto
22;31.6;1.89;0.0596;10.6;61.8;Dy_auto
23;46.4;2.26;0.0487;15.5;74.1;Dy_auto
24;68.1;2.72;0.04;22.7;89.2;Dy_auto
25;100;3.29;0.0329;33.4;108;Dy_auto
26;147;4;0.0273;49;131;Dy_auto
27;215;4.9;0.0227;71.9;160;Dy_auto
28;316;6.02;0.019;106;197;Dy_auto
29;464;7.44;0.016;155;244;Dy_auto
30;681;9.26;0.0136;227;303;Dy_auto
31;1000;11.6;0.0116;334;379;Dy_auto

