Name:;;;P3-1 4
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 15:01  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;0.00934;0.933;0.00334;0.306;Dy_auto
2;0.0147;0.0162;1.1;0.0049;0.532;Dy_auto
3;0.0215;0.0239;1.11;0.00719;0.784;Dy_auto
4;0.0316;0.0385;1.22;0.0106;1.26;Dy_auto
5;0.0464;0.0598;1.29;0.0155;1.96;Dy_auto
6;0.0681;0.0834;1.22;0.0227;2.73;Dy_auto
7;0.1;0.106;1.06;0.0334;3.49;Dy_auto
8;0.147;0.127;0.868;0.049;4.17;Dy_auto
9;0.215;0.152;0.707;0.0719;4.99;Dy_auto
10;0.316;0.185;0.586;0.106;6.07;Dy_auto
11;0.464;0.228;0.492;0.155;7.49;Dy_auto
12;0.681;0.282;0.413;0.227;9.22;Dy_auto
13;1;0.343;0.343;0.334;11.2;Dy_auto
14;1.47;0.418;0.285;0.49;13.7;Dy_auto
15;2.15;0.508;0.236;0.719;16.6;Dy_auto
16;3.16;0.613;0.194;1.06;20.1;Dy_auto
17;4.64;0.739;0.159;1.55;24.2;Dy_auto
18;6.81;0.887;0.13;2.27;29.1;Dy_auto
19;10;1.06;0.106;3.34;34.9;Dy_auto
20;14.7;1.27;0.0867;4.9;41.7;Dy_auto
21;21.5;1.53;0.0708;7.19;50;Dy_auto
22;31.6;1.83;0.058;10.6;60.1;Dy_auto
23;46.4;2.2;0.0475;15.5;72.2;Dy_auto
24;68.1;2.66;0.0391;22.7;87.2;Dy_auto
25;100;3.22;0.0322;33.4;106;Dy_auto
26;147;3.93;0.0268;49;129;Dy_auto
27;215;4.81;0.0223;71.9;158;Dy_auto
28;316;5.93;0.0187;106;194;Dy_auto
29;464;7.34;0.0158;155;240;Dy_auto
30;681;9.15;0.0134;227;300;Dy_auto
31;1000;11.5;0.0115;334;376;Dy_auto

