Name:;;;P3-1 7
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 15:29  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;0.0108;1.08;0.00334;0.355;Dy_auto
2;0.0147;0.016;1.09;0.0049;0.526;Dy_auto
3;0.0215;0.0247;1.15;0.00719;0.81;Dy_auto
4;0.0316;0.0388;1.23;0.0106;1.27;Dy_auto
5;0.0464;0.0576;1.24;0.0155;1.89;Dy_auto
6;0.0681;0.0781;1.15;0.0227;2.56;Dy_auto
7;0.1;0.0971;0.971;0.0334;3.18;Dy_auto
8;0.147;0.117;0.8;0.049;3.85;Dy_auto
9;0.215;0.142;0.66;0.0719;4.66;Dy_auto
10;0.316;0.174;0.55;0.106;5.7;Dy_auto
11;0.464;0.215;0.464;0.155;7.06;Dy_auto
12;0.681;0.266;0.39;0.227;8.7;Dy_auto
13;1;0.325;0.325;0.334;10.7;Dy_auto
14;1.47;0.398;0.271;0.49;13.1;Dy_auto
15;2.15;0.486;0.225;0.719;15.9;Dy_auto
16;3.16;0.589;0.186;1.06;19.3;Dy_auto
17;4.64;0.711;0.153;1.55;23.3;Dy_auto
18;6.81;0.856;0.126;2.27;28.1;Dy_auto
19;10;1.03;0.103;3.34;33.7;Dy_auto
20;14.7;1.23;0.084;4.9;40.4;Dy_auto
21;21.5;1.48;0.0689;7.19;48.6;Dy_auto
22;31.6;1.79;0.0565;10.6;58.5;Dy_auto
23;46.4;2.15;0.0464;15.5;70.5;Dy_auto
24;68.1;2.6;0.0382;22.7;85.3;Dy_auto
25;100;3.16;0.0316;33.4;103;Dy_auto
26;147;3.85;0.0262;49;126;Dy_auto
27;215;4.72;0.0219;71.9;155;Dy_auto
28;316;5.82;0.0184;106;191;Dy_auto
29;464;7.22;0.0155;155;236;Dy_auto
30;681;9.01;0.0132;227;295;Dy_auto
31;1000;11.3;0.0113;334;370;Dy_auto

