Name:;;;P3-3 1
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 17:07  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.00999;0.0569;5.7;0.00333;1.87;Dy_auto
2;0.0147;0.106;7.21;0.0049;3.47;Dy_auto
3;0.0215;0.169;7.85;0.00719;5.54;Dy_auto
4;0.0316;0.3;9.48;0.0105;9.82;Dy_auto
5;0.0464;0.502;10.8;0.0155;16.4;Dy_auto
6;0.0681;0.649;9.52;0.0227;21.2;Dy_auto
7;0.1;0.657;6.57;0.0334;21.5;Dy_auto
8;0.147;0.679;4.63;0.049;22.3;Dy_auto
9;0.215;0.733;3.4;0.0719;24;Dy_auto
10;0.316;0.796;2.52;0.106;26.1;Dy_auto
11;0.464;0.877;1.89;0.155;28.7;Dy_auto
12;0.681;0.969;1.42;0.227;31.7;Dy_auto
13;1;1.08;1.08;0.334;35.3;Dy_auto
14;1.47;1.17;0.797;0.49;38.3;Dy_auto
15;2.15;1.28;0.594;0.719;41.9;Dy_auto
16;3.16;1.4;0.443;1.06;45.9;Dy_auto
17;4.64;1.53;0.33;1.55;50.2;Dy_auto
18;6.81;1.69;0.247;2.27;55.2;Dy_auto
19;10;1.87;0.187;3.34;61.2;Dy_auto
20;14.7;2.1;0.143;4.9;68.6;Dy_auto
21;21.5;2.36;0.109;7.19;77.3;Dy_auto
22;31.6;2.69;0.0851;10.6;88.2;Dy_auto
23;46.4;3.08;0.0663;15.5;101;Dy_auto
24;68.1;3.54;0.0519;22.7;116;Dy_auto
25;100;4.08;0.0408;33.4;134;Dy_auto
26;147;4.77;0.0325;49;156;Dy_auto
27;215;5.63;0.0261;71.9;184;Dy_auto
28;316;6.74;0.0213;106;221;Dy_auto
29;464;8.16;0.0176;155;267;Dy_auto
30;681;9.99;0.0147;227;327;Dy_auto
31;1000;12.3;0.0123;334;403;Dy_auto

