Name:;;;P3-1 2
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 14:36  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;0.0125;1.25;0.00334;0.41;Dy_auto
2;0.0147;0.0217;1.48;0.0049;0.711;Dy_auto
3;0.0215;0.0369;1.71;0.00719;1.21;Dy_auto
4;0.0316;0.0665;2.1;0.0106;2.18;Dy_auto
5;0.0464;0.117;2.52;0.0155;3.83;Dy_auto
6;0.0681;0.158;2.33;0.0227;5.19;Dy_auto
7;0.1;0.182;1.82;0.0334;5.97;Dy_auto
8;0.147;0.198;1.35;0.049;6.49;Dy_auto
9;0.215;0.217;1.01;0.0719;7.1;Dy_auto
10;0.316;0.251;0.794;0.106;8.22;Dy_auto
11;0.464;0.301;0.65;0.155;9.88;Dy_auto
12;0.681;0.36;0.529;0.227;11.8;Dy_auto
13;1;0.426;0.426;0.334;14;Dy_auto
14;1.47;0.51;0.347;0.49;16.7;Dy_auto
15;2.15;0.606;0.281;0.719;19.9;Dy_auto
16;3.16;0.719;0.227;1.06;23.5;Dy_auto
17;4.64;0.85;0.183;1.55;27.9;Dy_auto
18;6.81;1.01;0.148;2.27;33;Dy_auto
19;10;1.19;0.119;3.34;38.9;Dy_auto
20;14.7;1.4;0.0954;4.9;45.9;Dy_auto
21;21.5;1.67;0.0773;7.19;54.6;Dy_auto
22;31.6;1.98;0.0626;10.6;64.8;Dy_auto
23;46.4;2.36;0.0508;15.5;77.3;Dy_auto
24;68.1;2.83;0.0415;22.7;92.6;Dy_auto
25;100;3.4;0.034;33.4;111;Dy_auto
26;147;4.12;0.0281;49;135;Dy_auto
27;215;5.02;0.0233;71.9;164;Dy_auto
28;316;6.15;0.0195;106;202;Dy_auto
29;464;7.58;0.0163;155;248;Dy_auto
30;681;9.39;0.0138;227;308;Dy_auto
31;1000;11.7;0.0117;334;383;Dy_auto

