Name:;;;P3-2 2
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 15:58  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;0.011;1.1;0.00334;0.359;Dy_auto
2;0.0147;0.02;1.37;0.0049;0.657;Dy_auto
3;0.0215;0.0339;1.57;0.00719;1.11;Dy_auto
4;0.0316;0.0619;1.96;0.0106;2.03;Dy_auto
5;0.0464;0.111;2.39;0.0155;3.63;Dy_auto
6;0.0681;0.147;2.16;0.0227;4.82;Dy_auto
7;0.1;0.162;1.62;0.0334;5.31;Dy_auto
8;0.147;0.173;1.18;0.049;5.68;Dy_auto
9;0.215;0.193;0.895;0.0719;6.32;Dy_auto
10;0.316;0.223;0.704;0.106;7.3;Dy_auto
11;0.464;0.269;0.579;0.155;8.81;Dy_auto
12;0.681;0.324;0.476;0.227;10.6;Dy_auto
13;1;0.386;0.386;0.334;12.7;Dy_auto
14;1.47;0.462;0.315;0.49;15.1;Dy_auto
15;2.15;0.556;0.258;0.719;18.2;Dy_auto
16;3.16;0.665;0.21;1.06;21.8;Dy_auto
17;4.64;0.789;0.17;1.55;25.8;Dy_auto
18;6.81;0.937;0.138;2.27;30.7;Dy_auto
19;10;1.11;0.111;3.34;36.5;Dy_auto
20;14.7;1.32;0.0902;4.9;43.4;Dy_auto
21;21.5;1.57;0.0727;7.19;51.3;Dy_auto
22;31.6;1.88;0.0594;10.6;61.5;Dy_auto
23;46.4;2.25;0.0484;15.5;73.6;Dy_auto
24;68.1;2.7;0.0397;22.7;88.5;Dy_auto
25;100;3.26;0.0326;33.4;107;Dy_auto
26;147;3.97;0.027;49;130;Dy_auto
27;215;4.84;0.0225;71.9;159;Dy_auto
28;316;5.95;0.0188;106;195;Dy_auto
29;464;7.35;0.0158;155;241;Dy_auto
30;681;9.13;0.0134;227;299;Dy_auto
31;1000;11.4;0.0114;334;374;Dy_auto

