Name:;;;2-1 1
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 20:56  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;0.00168;0.168;0.00334;0.0549;Dy_auto
2;0.0147;0.00402;0.274;0.0049;0.132;Dy_auto
3;0.0215;0.00756;0.351;0.00719;0.248;Dy_auto
4;0.0316;0.0103;0.327;0.0106;0.339;Dy_auto
5;0.0464;0.0119;0.255;0.0155;0.388;Dy_auto
6;0.0681;0.0135;0.198;0.0227;0.442;Dy_auto
7;0.1;0.0165;0.165;0.0334;0.539;Dy_auto
8;0.147;0.021;0.143;0.049;0.688;Dy_auto
9;0.215;0.0272;0.126;0.0719;0.891;Dy_auto
10;0.316;0.0344;0.109;0.106;1.13;Dy_auto
11;0.464;0.0455;0.098;0.155;1.49;Dy_auto
12;0.681;0.0596;0.0875;0.227;1.95;Dy_auto
13;1;0.0785;0.0785;0.334;2.57;Dy_auto
14;1.47;0.104;0.0706;0.49;3.39;Dy_auto
15;2.15;0.135;0.0628;0.719;4.43;Dy_auto
16;3.16;0.175;0.0553;1.06;5.73;Dy_auto
17;4.64;0.227;0.0489;1.55;7.43;Dy_auto
18;6.81;0.293;0.043;2.27;9.6;Dy_auto
19;10;0.378;0.0378;3.34;12.4;Dy_auto
20;14.7;0.486;0.0331;4.9;15.9;Dy_auto
21;21.5;0.623;0.0289;7.19;20.4;Dy_auto
22;31.6;0.798;0.0252;10.6;26.1;Dy_auto
23;46.4;1.02;0.022;15.5;33.5;Dy_auto
24;68.1;1.31;0.0192;22.7;42.9;Dy_auto
25;100;1.68;0.0168;33.4;55;Dy_auto
26;147;2.15;0.0147;49;70.6;Dy_auto
27;215;2.77;0.0129;71.9;90.9;Dy_auto
28;316;3.58;0.0113;106;117;Dy_auto
29;464;4.62;0.00996;155;152;Dy_auto
30;681;6.02;0.00884;227;197;Dy_auto
31;1000;7.87;0.00787;334;258;Dy_auto

