Name:;;;P3-2 3
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 16:12  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;0.00975;0.975;0.00334;0.319;Dy_auto
2;0.0147;0.0165;1.13;0.0049;0.542;Dy_auto
3;0.0215;0.0273;1.27;0.00719;0.896;Dy_auto
4;0.0316;0.0451;1.43;0.0106;1.48;Dy_auto
5;0.0464;0.0698;1.5;0.0155;2.29;Dy_auto
6;0.0681;0.0938;1.38;0.0227;3.07;Dy_auto
7;0.1;0.112;1.12;0.0334;3.66;Dy_auto
8;0.147;0.131;0.89;0.049;4.28;Dy_auto
9;0.215;0.154;0.715;0.0719;5.05;Dy_auto
10;0.316;0.187;0.593;0.106;6.14;Dy_auto
11;0.464;0.23;0.496;0.155;7.54;Dy_auto
12;0.681;0.281;0.413;0.227;9.21;Dy_auto
13;1;0.341;0.341;0.334;11.2;Dy_auto
14;1.47;0.416;0.283;0.49;13.6;Dy_auto
15;2.15;0.502;0.233;0.719;16.4;Dy_auto
16;3.16;0.604;0.191;1.06;19.8;Dy_auto
17;4.64;0.727;0.157;1.55;23.8;Dy_auto
18;6.81;0.871;0.128;2.27;28.5;Dy_auto
19;10;1.04;0.104;3.34;34.2;Dy_auto
20;14.7;1.25;0.0849;4.9;40.8;Dy_auto
21;21.5;1.49;0.0694;7.19;49;Dy_auto
22;31.6;1.8;0.0568;10.6;58.8;Dy_auto
23;46.4;2.16;0.0465;15.5;70.8;Dy_auto
24;68.1;2.61;0.0383;22.7;85.5;Dy_auto
25;100;3.16;0.0316;33.4;104;Dy_auto
26;147;3.86;0.0263;49;126;Dy_auto
27;215;4.73;0.0219;71.9;155;Dy_auto
28;316;5.83;0.0184;106;191;Dy_auto
29;464;7.22;0.0156;155;237;Dy_auto
30;681;9.01;0.0132;227;295;Dy_auto
31;1000;11.3;0.0113;334;369;Dy_auto

