Name:;;;P40-2 2
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 19:28  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;-0.000359;-0.0359;0.00334;-0.0118;Dy_auto
2;0.0147;-0.000244;-0.0166;0.0049;-0.00799;M- ,Dy_
3;0.0215;0.00071;0.033;0.00719;0.0233;Dy_auto
4;0.0316;0.00075;0.0237;0.0106;0.0246;Dy_auto
5;0.0464;0.0005;0.0108;0.0155;0.0164;Dy_auto
6;0.0681;0.000531;0.0078;0.0227;0.0174;Dy_auto
7;0.1;0.000875;0.00875;0.0334;0.0287;Dy_auto
8;0.147;0.00196;0.0134;0.049;0.0644;Dy_auto
9;0.215;0.00236;0.011;0.0719;0.0773;Dy_auto
10;0.316;0.00327;0.0103;0.106;0.107;Dy_auto
11;0.464;0.0046;0.0099;0.155;0.151;Dy_auto
12;0.681;0.00704;0.0103;0.227;0.231;Dy_auto
13;1;0.0111;0.0111;0.334;0.365;Dy_auto
14;1.47;0.0165;0.0112;0.49;0.541;Dy_auto
15;2.15;0.0236;0.011;0.719;0.773;Dy_auto
16;3.16;0.0325;0.0103;1.06;1.07;Dy_auto
17;4.64;0.0482;0.0104;1.55;1.58;Dy_auto
18;6.81;0.068;0.00997;2.27;2.23;Dy_auto
19;10;0.0975;0.00975;3.34;3.19;Dy_auto
20;14.7;0.137;0.00932;4.9;4.48;Dy_auto
21;21.5;0.19;0.00884;7.19;6.24;Dy_auto
22;31.6;0.264;0.00835;10.6;8.65;Dy_auto
23;46.4;0.364;0.00785;15.5;11.9;Dy_auto
24;68.1;0.501;0.00736;22.7;16.4;Dy_auto
25;100;0.683;0.00683;33.4;22.4;Dy_auto
26;147;0.934;0.00636;49;30.6;Dy_auto
27;215;1.27;0.0059;71.9;41.7;Dy_auto
28;316;1.73;0.00547;106;56.7;Dy_auto
29;464;2.35;0.00507;155;77;Dy_auto
30;681;3.25;0.00477;227;106;Dy_auto
31;1000;4.58;0.00458;334;150;Dy_auto

