Name:;;;P20-1 2
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 17:53  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;0.00176;0.176;0.00334;0.0576;Dy_auto
2;0.0147;0.0032;0.218;0.0049;0.105;Dy_auto
3;0.0215;0.00444;0.206;0.00719;0.145;Dy_auto
4;0.0316;0.00283;0.0896;0.0106;0.0928;Dy_auto
5;0.0464;0.00133;0.0286;0.0155;0.0435;Dy_auto
6;0.0681;0.00164;0.0241;0.0227;0.0538;Dy_auto
7;0.1;0.00229;0.0229;0.0334;0.0751;Dy_auto
8;0.147;0.00405;0.0276;0.049;0.133;Dy_auto
9;0.215;0.00552;0.0256;0.0719;0.181;Dy_auto
10;0.316;0.00838;0.0265;0.106;0.274;Dy_auto
11;0.464;0.012;0.0258;0.155;0.392;Dy_auto
12;0.681;0.0169;0.0248;0.227;0.554;Dy_auto
13;1;0.0249;0.0249;0.334;0.817;Dy_auto
14;1.47;0.0352;0.024;0.49;1.15;Dy_auto
15;2.15;0.0485;0.0225;0.719;1.59;Dy_auto
16;3.16;0.0667;0.0211;1.06;2.19;Dy_auto
17;4.64;0.0926;0.02;1.55;3.03;Dy_auto
18;6.81;0.126;0.0184;2.27;4.12;Dy_auto
19;10;0.171;0.0171;3.34;5.61;Dy_auto
20;14.7;0.231;0.0157;4.9;7.56;Dy_auto
21;21.5;0.309;0.0143;7.19;10.1;Dy_auto
22;31.6;0.412;0.013;10.6;13.5;Dy_auto
23;46.4;0.548;0.0118;15.5;17.9;Dy_auto
24;68.1;0.728;0.0107;22.7;23.8;Dy_auto
25;100;0.962;0.00962;33.4;31.5;Dy_auto
26;147;1.28;0.0087;49;41.8;Dy_auto
27;215;1.69;0.00786;71.9;55.5;Dy_auto
28;316;2.25;0.00711;106;73.7;Dy_auto
29;464;2.99;0.00644;155;98;Dy_auto
30;681;4.03;0.00591;227;132;Dy_auto
31;1000;5.48;0.00548;334;180;Dy_auto

